"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"93",4,4,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,4,3,2,5,3,4,4,3,3.25
"94",4,2,4,2,2,4,3,3,1,3,4,3,3,4,3,4,3,4,4,3,5,3,4,5,3,3,4,4,3,2.81
"95",4,4,4,4,3,4,3,3,3,3,4,2,4,3,2,2,2,3,3,3,2,3,2,1,4,2,2,3,3,3.62
"96",4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,2,3,4,4,4,4,4,4,4,4,3.42
"97",3,4,4,4,3,4,3,3,3,4,4,3,3,4,4,3,3,4,4,2,5,2,4,5,2,3,4,5,5,3.16
"98",3,3,3,3,3,2,3,2,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,4,4,3,2,2,3,3.81
"99",3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,3,3,3.2
"100",3,2,3,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,2,4,4,4,3,4,4,5,3.03
"101",4,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,4,3,4,4,3,5,5,4,4,4,4,4,3.42
"102",4,3,3,4,4,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,3,3,4,3,3,3.59
"103",3,3,2,2,4,2,3,3,3,3,3,3,3,3,2,2,3,3,2,4,2,4,3,4,5,2,2,2,3,3.77
"104",4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,5,3,4,4,3,4,3.46
"105",4,3,4,4,4,3,4,2,3,1,3,4,3,4,3,3,4,4,4,4,4,4,5,5,5,2,4,4,4,3.38
"106",3,4,4,4,2,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,3,5,5,3.77
"107",4,4,4,3,4,4,3,3,2,3,4,3,3,4,3,3,4,4,4,3,2,4,4,5,5,3,2,4,4,3.46
"108",3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,3,3,4,4,4,3.42
"109",4,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,2,3,3,5,2,3,2,4,4,3.85
"110",3,3,4,3,3,3,3,2,2,3,3,2,2,3,3,2,2,3,3,4,5,3,3,4,2,3,4,4,4,2.99
"111",4,2,4,4,4,4,4,3,3,3,4,2,3,3,3,3,2,4,3,3,4,4,3,4,4,2,3,4,4,3.45
"112",4,4,4,3,4,4,3,2,3,3,3,4,3,4,3,3,3,3,3,2,1,4,4,4,2,4,3,3,4,3.64
"113",4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,3,5,5,4,3.3
"114",4,4,4,4,3,3,3,2,3,3,3,3,4,3,2,2,3,3,3,2,2,3,2,4,5,2,2,1,3,3.7
"115",3,4,4,3,4,3,3,3,2,3,4,3,3,3,3,2,2,4,3,3,2,3,2,5,4,3,2,2,4,2.77
"117",4,4,4,3,3,4,3,3,2,3,3,3,3,3,2,2,3,3,3,2,2,4,3,5,4,4,2,4,3,3.81
"118",3,3,3,3,3,4,3,2,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,5,3,2,4,4,4,2.38
"119",4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,2,5,5,5,3,4,4,4,2.86
"120",3,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,5,2,4,5,4,4,4,5,4,3.38
"121",2,1,4,2,1,2,2,3,3,4,3,4,3,4,2,3,3,2,3,4,2,3,5,2,5,3,2,1,1,3.07
"122",4,4,4,3,3,4,3,4,2,3,4,4,4,3,3,3,4,4,4,3,2,5,3,4,3,4,3,4,5,3.25
"123",3,3,3,4,3,3,3,3,2,3,4,4,3,4,4,4,3,4,3,3,4,3,4,5,2,4,4,3,3,3.03
"124",4,4,4,2,4,3,4,4,3,3,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,2,4,1,3,3.44
"125",3,4,4,4,4,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,5,3,5,5,4,4,4,4,4,2.6
"126",3,2,4,3,2,4,3,3,2,3,3,3,3,3,3,2,2,3,3,4,4,2,2,2,4,4,2,4,4,3.25
"128",4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,4,3,2,3,4,3,5,4,4,4,4,4,3.2
"129",3,3,4,4,3,3,2,3,2,3,4,3,3,3,3,3,3,4,3,3,4,3,4,5,3,4,4,3,4,3.29
"130",4,4,4,4,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,5,3,4,4,4,4,2,4,4,4,3.16
"131",3,3,3,3,2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,2,2,3,2,5,3,3,2,3,2,3.38
"133",4,3,4,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,4,4,2,3,5,4,3,4,2,3,3.33
"134",4,3,4,3,2,3,3,3,1,3,3,3,3,3,3,3,2,4,3,4,1,3,3,5,4,3,1,3,4,3.33
"135",3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4,3.03
"136",3,3,4,2,2,4,3,3,1,3,3,3,3,3,3,3,3,4,3,4,5,2,5,5,5,3,3,3,4,3.33
"137",3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,5,5,3.05
"138",4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,4,5,3,4,5,4,3,4,3,3,2.77
"139",3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,5,4,3,5,3,3,2.77
"141",4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,5,4,3,2,4,4,3.16
"142",4,4,4,2,4,3,3,1,2,3,3,1,3,3,3,2,2,2,2,4,2,2,5,3,4,3,3,2,3,2.68
"143",4,4,4,3,3,4,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,4,4,4,3,3,2,4,5,3.44
"144",4,4,4,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,2,3,3,2,3,2,3,4,3,4,3.98
"145",3,3,4,4,3,3,2,3,1,3,3,3,3,3,2,3,3,4,3,2,4,2,2,5,5,2,1,2,3,2.81
"146",3,3,3,3,3,3,3,3,2,3,4,3,4,4,3,3,3,3,3,3,3,3,4,5,4,2,5,3,5,3.2
"147",3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,3,4,4,4,3,4,5,3,3,4,4,4,3.2
"148",2,2,3,3,2,3,2,2,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,4,3,2,3,3,2,3.22
"149",3,3,3,3,1,1,3,1,2,3,3,3,3,3,2,2,2,4,3,3,1,3,2,4,2,4,2,3,3,3.33
"150",3,4,4,4,4,3,4,3,2,3,4,3,3,3,3,3,3,3,3,5,3,3,4,5,5,5,3,5,5,2.36
"151",3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.42
"152",4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,3,4,4,4,4,4,3,3,4,3,3,4,3,4,3.81
"154",3,4,4,4,3,4,3,2,2,3,4,3,3,3,3,3,3,4,3,4,4,3,5,4,4,3,3,3,4,3.46
"155",3,2,3,3,2,3,2,3,1,3,4,4,3,4,4,4,4,4,4,5,3,4,3,5,4,5,2,5,4,3.81
"156",3,3,3,3,2,3,1,3,2,4,4,3,3,3,3,2,3,3,3,4,4,2,4,4,2,3,2,4,4,2.6
"157",4,4,4,3,4,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,3,4,5,4,4,4,4,4,3.46
"158",4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,5,4,5,4,5,3,5,4,3.16
"159",3,3,4,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,2,3,2,4,4,5,4,4,4,5,4,3.68
"160",2,4,3,1,1,1,2,2,1,1,1,2,2,2,2,2,2,4,2,3,3,2,3,5,4,3,2,2,4,2.16
"161",4,4,4,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3,4,4,2,4,3,5,4,4,2,4,4,2.94
"162",4,3,4,4,3,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,2,4,4,5,2,4,2,4,4,3.38
"163",3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,2,3,2,3,4,3,4,2,4,4,3.73
"164",2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,3,4,4,3,3.76
"165",4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,3,3,4,3,3,2,4,4,3.98
